Carimbo de data/hora	Gênero	Idade	Morador de Ubatã?	Quanto você gasta em uma saída em Ubatã?  Desconsidere o almoço para essa e outras respostas. 	Durante o período de um mês, qual o local que você mais vai na cidade?	Você considera o lazer ofertado por esses locais adequado?	Dentro dos listados abaixo, qual fator você considera como principal para escolher um local para sair?	Você estaria disposto a pagar um preço mais caro em um produto por um local de saída mais agradável?	Se sim, até quanto?	Descreva as coisas que você mais gostaria que melhorasse no serviço de comida em Ubatã	Descreva as coisas que você mais gosta nos serviços de comida em Ubatã	O que você espera de um local para sair?	Você considera ser divertido sair para comer em Ubatã?	De uma forma geral, o quão você está satisfeito com os serviços de comida prestados na cidade de Ubatã?
2019/12/05 2:58:46 PM GMT-3	Masculino	18 a 24 anos	SIm	Entre 15 e 20 reais	Salgado de Ana 	Não	Comida	Sim	Acima de 15 reais mais caro	Ambiente, variedade de comida, preço e etc 	Às vezes a comida é boa, às vezes sai rápido... É incerto 	Ambiente confortável e tranquilo;Atendimento rápido;Variedade de produto;Conforto	Não	7
2019/12/05 3:09:51 PM GMT-3	Masculino	18 a 24 anos	SIm	Entre 10 e 15 reais	Praça					Praça	Salgados	Ambiente confortável e tranquilo	Não	5
2019/12/05 3:13:10 PM GMT-3	Feminino	18 a 24 anos	SIm	Entre 10 e 15 reais	Açaí ou acarajé	Sim	Comida	Sim	Acima de 15 reais mais caro	O espaço 	Atendimento 	Ambiente confortável e tranquilo;Atendimento rápido;Variedade de produto	Não	6
2019/12/05 3:14:19 PM GMT-3	Feminino	18 a 24 anos	SIm	Entre 15 e 20 reais		Não	Comida	Sim	Até 10 reais mais caro	Atendimento, locais novos 		Variedade de produto	Não	6
2019/12/05 3:15:47 PM GMT-3	Masculino	18 a 24 anos	Não	Entre 10 e 15 reais	Praça	Considerando a realidade da cidade, sim.	Custo / Benefício	Sim	Até 5 reais mais caro	Qualidade e agilidade	Comer com os amigos	Ambiente confortável e tranquilo;Atendimento rápido;Preço de acordo ao local;Variedade de produto;Conforto	Sim	7
2019/12/05 3:16:14 PM GMT-3	Masculino	18 a 24 anos	Não	Entre 10 e 15 reais	Acarajé 	Não	Comida	Sim	Até 10 reais mais caro	Variedade em comidas e preço bom	Preço acessível 	Ambiente confortável e tranquilo;Atendimento rápido;Preço de acordo ao local;Variedade de produto	Não	6
2019/12/05 3:17:58 PM GMT-3	Masculino	18 a 24 anos	Não	Entre 15 e 20 reais	Praça					Feira	Mercado	Variedade de produto	Não	5
2019/12/05 3:23:50 PM GMT-3	Feminino	18 a 24 anos	SIm	Entre 10 e 15 reais		Considerando a realidade da cidade, sim.	Comida	Não		Variedade	Preço	Ambiente confortável e tranquilo	Sim	6
2019/12/05 3:27:22 PM GMT-3	Feminino	15 a 18 anos	SIm	Entre 10 e 15 reais	Escola	Não	Comida	Sim	Até 10 reais mais caro	Atendimento e variedade		Variedade de produto	Sim	7
2019/12/05 3:32:27 PM GMT-3	Feminino	18 a 24 anos	SIm	Acima de 20 reais	Posto Samarino 	Não	Comida	Sim	Até 15 reais mais caro	Diversidade de comidas 	Nada rsrsrs	Ambiente confortável e tranquilo	Não	4
2019/12/05 3:34:48 PM GMT-3	Masculino	24 a 40 anos	SIm	Entre 10 e 15 reais	Hambúrguer do Alex	Considerando a realidade da cidade, sim.	Comida	Sim	Até 10 reais mais caro	Musica	Não sei	Ambiente confortável e tranquilo;Atendimento rápido;Preço de acordo ao local	Sim	6
2019/12/05 3:35:11 PM GMT-3	Masculino	Até 15 anos	SIm	Entre 10 e 15 reais	Doce Mania 	Considerando a realidade da cidade, sim.	Custo / Benefício	Sim	Até 10 reais mais caro	Variedade 	Atendimento	Preço de acordo ao local	Sim	8
2019/12/05 3:38:12 PM GMT-3	Masculino	15 a 18 anos	SIm	Entre 15 e 20 reais	Minha ksa	Considerando a realidade da cidade, sim.	Preço	Sim	Até 5 reais mais caro	Atendimento	A comida	Ambiente confortável e tranquilo	Não	5
2019/12/05 3:38:28 PM GMT-3	Masculino	18 a 24 anos	Não	Entre 15 e 20 reais	Açaioca	Considerando a realidade da cidade, sim.	Comida	Sim	Até 5 reais mais caro	Maior variedade		Ambiente confortável e tranquilo;Atendimento rápido;Preço de acordo ao local;Variedade de produto;Conforto	Sim	6
2019/12/05 3:43:25 PM GMT-3	Masculino	15 a 18 anos	SIm	Entre 10 e 15 reais	Praça Rui Barbosa	Considerando a realidade da cidade, sim.	Espaço agradável	Sim	Até 10 reais mais caro	Atendimento	Simpatia	Atendimento rápido	Sim	4
2019/12/05 3:44:29 PM GMT-3	Masculino	15 a 18 anos	SIm	Entre 15 e 20 reais	Eu encomendo pizza ou vou pra acaioca, alex	Não	Comida	Sim	Até 10 reais mais caro	Variedades de comidas, espaços agradáveis, entregas rápidas, comidas boas e saudáveis	Não tenho algo específico 	Ambiente confortável e tranquilo;Atendimento rápido;Variedade de produto	Não	3
2019/12/05 3:48:47 PM GMT-3	Masculino	24 a 40 anos	SIm	Acima de 20 reais	Açaioca	Não	Comida	Sim	Até 10 reais mais caro	Atendimento, cardápio diversificado e de bom paladar	Nada	Variedade de produto	Não	1
2019/12/05 3:54:35 PM GMT-3	Feminino	18 a 24 anos	SIm	Acima de 20 reais	Praça Ruy Barbosa	Não	Comida	Sim	Até 5 reais mais caro	Preço e atendimento	As entregas em domicílio	Ambiente confortável e tranquilo;Atendimento rápido;Variedade de produto	Não	5
2019/12/05 3:57:17 PM GMT-3	Masculino	15 a 18 anos	SIm	Entre 10 e 15 reais	Hambúrguer do Alex	Considerando a realidade da cidade, sim.	Custo / Benefício	Sim	Até 10 reais mais caro			Preço de acordo ao local	Sim	9
2019/12/05 4:05:02 PM GMT-3	Feminino	Acima de 40 anos	SIm	Acima de 20 reais	Posto samarino	Não	Comida	Sim	Acima de 15 reais mais caro	Ambiente agradável, entretenimento, comida de qualidade e   bom preço.	Gosto de nada, só saio pra comer mesmo .	Ambiente confortável e tranquilo;Atendimento rápido;Preço de acordo ao local	Não	5
2019/12/05 4:05:09 PM GMT-3	Masculino	24 a 40 anos	SIm	Acima de 20 reais	Rodoviária empinar moto 	Considerando a realidade da cidade, sim.	Espaço agradável	Sim	Acima de 15 reais mais caro	Qualidade atendimento e desigualdade social	Alguns locais o atendimento são bons	Ambiente confortável e tranquilo	Sim	7
2019/12/05 4:08:50 PM GMT-3	Masculino	18 a 24 anos	SIm	Entre 10 e 15 reais	Salgado do camamuzinho	Não	Custo / Benefício	Sim	Acima de 15 reais mais caro	Mais diversificação	Reunir a galera	Ambiente confortável e tranquilo;Atendimento rápido;Preço de acordo ao local	Não	4
2019/12/05 4:22:59 PM GMT-3	Feminino	Acima de 40 anos	SIm	Entre 10 e 15 reais	Casa do açai	Sim	Custo / Benefício	Não		Atendimento	Qualidade	Preço de acordo ao local	Sim	8
2019/12/05 4:23:13 PM GMT-3	Masculino	18 a 24 anos	SIm	Acima de 20 reais	Pousada contactus	Considerando a realidade da cidade, sim.	Custo / Benefício	Não		Sabor e preço	Sabor e preço	Atendimento rápido;Preço de acordo ao local;Variedade de produto	Não	4
